3.53E-105	1-382	PF3D7_0106100	383	49812	1.82E-05	113093	118204	1
2.21E-96	86-447	PF3D7_1407800	449	40949	7.10E-12	74240	50646	11
1.73E-83	220-561	PF3D7_1458000	569	48736	1.44E-05	124092	54002	6
5.83E-75	"206-427,492-607"	PF3D7_1430200	627	42297	5.89E-06	26841	50646	40
9.07E-72	34-217	PF3D7_0831700	679	47192	9.58E-08	33425	53068	3
1.65E-65	220-413	PF3D7_0831700	679	38604	1.08E-07	33426	53068	2
7.98E-65	419-574	PF3D7_0831700	679	36037	2.12E-07	43321	100921	4
1.57E-24	568-648	PF3D7_0831700	679	44279	0.00023	99198	100935	1
1.83E-67	96-344	PF3D7_0316300.1	380	53379	7.42E-06	25395	50325	14
7.99E-64	342-665	PF3D7_0507500	688	50066	5.10E-05	32481	52744	4
1.77E-57	67-312	PF3D7_0918200	317	37530	2.83E-05	145262	50461	10
1.77E-57	67-312	PF3D7_0918200_1	317	37530	2.83E-05	145262	50461	10
7.70E-53	387-616	PF3D7_1249900	639	49069	0.00091	104657	88784	21
5.22E-42	"155-320,350-441"	PF3D7_1401300	473	41081	0.054	79467	53509	13
1.10E-41	"278-375,422-619"	PF3D7_0923200	780	46685	0.013	25669	50438	5
3.26E-41	60-212	PF3D7_0923200	780	49652	0.0012	62804	52231	5
2.62E-36	621-780	PF3D7_0923200	780	46686	0.0019	31557	52365	2
1.83E-41	3-245	PF3D7_1149000	6093	52122	8.89E-05	125552	140925	3
8.31E-39	149-397	PF3D7_0301300	437	41081	0.056	90628	53531	14
1.82E-38	"533-621,766-814,848-968,996-1047"	PF3D7_1464600	1442	44518	0.012	42076	56301	3
9.05E-37	48-311	PF3D7_0422000	321	51542	0.0023	122980	51751	7
2.73E-36	308-575	PF3D7_0826200	602	37013	0.078	79467	53509	20
0.0066	107-149	PF3D7_0826200	602	52621	0.064	90805	51162	89
4.12E-34	"168-230,293-403,435-595"	PF3D7_1234400	656	41040	0.013	62669	50646	11
1.34E-32	74-335	PF3D7_1410100	349	50206	0.042	83977	53522	30
1.57E-31	76-180	PF3D7_0501100.1	402	46983	0.00025	15697	46566	5
2.09E-20	306-393	PF3D7_0501100.1	402	35834	0.00081	22832	49494	1
1.05E-17	226-305	PF3D7_0501100.1	402	35833	0.00084	22831	49494	4
3.71E-30	72-184	PF3D7_0817500	185	49287	9.06E-05	98237	54198	2
4.32E-30	310-410	PF3D7_1149600	714	46983	0.0003	15697	46566	5
4.97E-30	32-122	PF3D7_1108700	540	46983	0.00025	15696	46566	6
1.35E-22	168-279	PF3D7_1108700	540	45743	0.018	127891	52849	6
1.75E-05	430-518	PF3D7_1108700	540	52452	0.042	59922	52834	33
6.15E-30	84-186	PF3D7_0201800	421	46983	0.00017	15696	46566	5
1.96E-19	325-412	PF3D7_0201800	421	35834	0.0005	22832	49494	2
9.42E-15	243-323	PF3D7_0201800	421	35833	0.0013	22831	49494	3
1.19E-29	159-340	PF3D7_1232000	556	42520	0.0021	40775	55682	48
1.57E-07	463-556	PF3D7_1232000	556	42524	0.018	39310	54992	13
2.19E-29	"221-257,288-401,437-519"	PF3D7_0902100	521	38659	0.007	70871	88854	53
3.14E-29	524-617	PF3D7_1038800	911	46983	0.00036	15697	46566	8
3.66E-29	659-747	PF3D7_0220100	997	46983	0.00038	15696	46566	8
3.76E-29	"49-121,152-217"	PF3D7_0623200	371	38027	0.0036	62840	63381	6
1.03E-26	225-371	PF3D7_0623200	371	38028	0.0021	62841	52344	6
8.77E-28	79-164	PF3D7_0113700	402	46983	0.00026	15697	46566	6
6.15E-20	307-394	PF3D7_0113700	402	35834	0.00071	22832	49494	2
5.10E-17	225-304	PF3D7_0113700	402	35833	0.0011	22831	49494	3
1.11E-27	301-559	PF3D7_1149300	560	46180	0.012	41635	88854	72
7.46E-26	191-289	PF3D7_0523400	533	46983	0.0007	15696	46566	5
1.02E-25	536-632	PF3D7_0831200	961	46983	0.00051	15697	46566	8
1.40E-25	"307-343,372-488,516-608"	PF3D7_0301200	610	46180	0.012	62112	88854	61
2.24E-25	133-217	PF3D7_1106100	269	53621	0.00051	16384	47064	3
2.46E-24	"207-276,305-540"	PF3D7_0902000	542	46180	0.0096	77573	88854	41
5.27E-24	361-605	PF3D7_0902300	608	46180	0.0083	77573	88854	85
0.017	64-122	PF3D7_0902300	608	53574	0.0078	139021	144285	33
6.15E-24	"344-480,508-603"	PF3D7_0902600_1	617	46180	0.0071	41635	88854	75
0.0994	58-131	PF3D7_0902600_1	617	43809	0.0058	106157	110015	42
6.15E-24	"344-480,508-603"	PF3D7_0902600	617	46180	0.0071	41635	88854	75
0.0994	58-131	PF3D7_0902600	617	43809	0.0058	106157	110015	42
1.67E-23	656-909	PF3D7_1039000	913	46180	0.01	41635	88854	77
2.16E-23	"286-326,355-590"	PF3D7_0902500	591	46180	0.024	41596	88854	57
0.00693	91-139	PF3D7_0902500	591	52000	0.01	138141	141572	32
3.60E-23	"233-274,303-539"	PF3D7_0902400	540	46180	0.0077	59938	88854	56
3.91E-23	"311-367,396-632"	PF3D7_0902200	633	46180	0.0096	70871	88854	45
4.45E-23	"302-446,473-566"	PF3D7_1200800	567	46180	0.011	71710	88854	70
0.0759	407-473	PF3D7_1200800	567	45039	0.027	109584	111322	33
9.98E-23	"202-262,297-413,440-529"	PF3D7_0731400	533	46210	0.02	65733	88854	32
1.09E-22	"310-500,531-619"	PF3D7_1476400	622	46180	0.013	116133	88854	56
1.23E-22	"367-487,518-606"	PF3D7_1016400	609	46180	0.013	41634	88854	92
1.52E-22	"339-474,505-596"	PF3D7_0500900	600	46180	0.01	41634	88854	76
1.56E-22	"983-1101,1129-1220"	PF3D7_0424700	1222	46210	0.012	116133	88854	73
2.75E-22	32-175	PF3D7_1214200	178	41233	0.0043	79963	82207	19
3.15E-22	"317-358,393-509,540-627"	PF3D7_0102600	630	46180	0.01	41634	88854	56
2.36E-21	530-597	PF3D7_1201100	900	50633	0.00038	15697	46566	15
3.46E-21	388-621	PF3D7_0424500	622	38659	0.0098	41635	88854	97
4.93E-21	461-575	PF3D7_1019600	1210	40866	0.011	26951	50730	3
6.01E-20	"500-536,607-842"	PF3D7_0726200	845	46180	0.011	41635	88854	61
4.19E-19	256-323	PF3D7_0220400	669	50633	0.0008	15697	46566	15
3.33E-09	183-260	PF3D7_0220400	669	52621	0.065	28060	51171	62
1.58E-18	468-685	PF3D7_1328500	1004	49087	0.068	146561	159753	27
0.0372	58-127	PF3D7_1328500	1004	47034	0.045	99344	102616	24
5.71E-18	552-767	PF3D7_1001400	921	49087	0.027	108458	53531	28
6.64E-18	288-503	PF3D7_0731800	675	49087	0.024	108458	53531	28
7.83E-18	360-421	PF3D7_0607200	429	50087	0.0093	83806	57851	16
9.16E-18	200-285	PF3D7_1102200	566	46983	0.001	15697	46566	8
9.68E-18	570-653	PF3D7_1149200	1090	46983	0.00072	15696	46566	6
4.55E-07	927-1021	PF3D7_1149200	1090	39861	0.035	68050	69353	86
1.57E-06	994-1075	PF3D7_1149200	1090	39861	0.04	68050	69353	105
